title,image,date,excerpt,link
"V/v Thông qua kết quả kinh doanh Quý III năm 2023, kế hoạch kinh doanh Quý IV/2023 và tạm giao kế hoạch kinh doanh năm 2024",https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,8/12/2023,Vui lòng tải NQ-06/2023/NQ-HĐQT: Tại đây!,https://bamepharm.com.vn/2023/12/08/vv-thong-qua-ket-qua-kinh-doanh-quy-iii-nam-2023-ke-hoach-kinh-doanh-quy-iv2023-va-tam-giao-ke-hoach-kinh-doanh-nam-2024/
V/v Thông qua kết quả kinh doanh 6 tháng đầu năm 2023 và kế hoạch kinh doanh Quý III/2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,17/08/2023,Vui lòng Tải NQ: Tại đây!,https://bamepharm.com.vn/2023/08/17/vv-thong-qua-ket-qua-kinh-doanh-6-thang-dau-nam-2023-va-ke-hoach-kinh-doanh-quy-iii2023/
Báo cáo Danh sách cổ đông lớn 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,3/7/2023,Vui lòng tải: Tại đây!,https://bamepharm.com.vn/2023/07/03/bao-cao-danh-sach-co-dong-lon/
CBTT V/v ký kết hợp đồng kiểm toán Báo cáo tài chính năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,29/06/2023,,https://bamepharm.com.vn/2023/06/29/cbtt-vv-ky-ket-hop-dong-kiem-toan-bao-cao-tai-chinh-nam-2023/
V/v ngày đăng ký cuối cùng để thực hiện quyền của người sở hữu cổ phiếu – Chi trả cổ tức năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,23/05/2023,Tải các nghị quyết: Tại đây!,https://bamepharm.com.vn/2023/05/23/vv-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-cua-nguoi-so-huu-co-phieu-chi-tra-co-tuc-nam-2022/
"CBTT BIÊN BẢN, NGHỊ QUYẾT ĐẠI HỘI ĐỒNG CỔ ĐÔNG 2023",https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,7/4/2023,Vui lòng Tải BB&NQ ĐHĐCĐ 2023: Tại đây!,https://bamepharm.com.vn/2023/04/07/cbtt-bien-ban-nghi-quyet-dai-hoi-dong-co-dong-2023/
CBTT Thông báo và Tài liệu Họp Đại hội đồng cổ đông năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,17/03/2023,"Vui lòng tải: Tài liệu họp ĐHĐCĐ: Tại đây! Thông báo, thư mời họp: Tại đây! Tờ trình Số 05 lần 2: Tại đây! (Cập […]",https://bamepharm.com.vn/2023/03/17/cbtt-thong-bao-va-tai-lieu-hop-dai-hoi-dong-co-dong-nam-2023/
CBTT v/v Quyết định áp dụng các biện pháp khắc phục hậu quả về thuế năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,17/03/2023,Vui lòng Tải Quyết định: Tại đây!,https://bamepharm.com.vn/2023/03/17/cbtt-vv-quyet-dinh-ap-dung-cac-bien-phap-khac-phuc-hau-qua-ve-thue-nam-2022/
CBTT Hạn mức tín dụng năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,10/3/2023,NQ Hạn mức tín dụng năm 2023: Tại đây!,https://bamepharm.com.vn/2023/03/10/cbtt-han-muc-tin-dung-nam-2023/
CBTT Báo cáo thường niên năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,7/3/2023,Báo cáo thường niên năm 2022: Tại đây!,https://bamepharm.com.vn/2023/03/07/cbtt-bao-cao-thuong-nien-nam-2022/
CBTT Báo cáo tài chính kiểm toán năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,4/3/2023,Báo cáo tài chính kiểm toán năm 2022.,https://bamepharm.com.vn/2023/03/04/cbtt-bao-cao-tai-chinh-kiem-toan-nam-2022/
CBTT về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,23/02/2023,Tải Thông báo Số 01/2023/TB-CT và Nghị quyết Số 01/2023/NQ-HĐQT: Tại đây.  ,https://bamepharm.com.vn/2023/02/23/cbtt-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2023/
Báo cáo Tình hình quản trị công ty năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/1/2023,Vui lòng Tải báo cáo: Tại đây!,https://bamepharm.com.vn/2023/01/05/bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2022/
Báo cáo Tình hình quản trị công ty 6 tháng đầu năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,11/8/2022,Vui lòng tải Văn bản: Tại đây!,https://bamepharm.com.vn/2022/08/11/bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-dau-nam-2022/
CBTT v/v Ký kết hợp đồng kiểm toán Báo cáo tài chính năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/7/2022, ,https://bamepharm.com.vn/2022/07/05/cbtt-vv-ky-ket-hop-dong-kiem-toan-bao-cao-tai-chinh-nam-2022/
Danh sách cổ đông lớn năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/7/2022,Tải Danh sách tại đây!,https://bamepharm.com.vn/2022/07/05/danh-sach-co-dong-lon-nam-2022/
V/v ngày đăng ký cuối cùng để thực hiện quyền của người sở hữu cổ phiếu – Chi trả cổ tức năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,30/05/2022,Tải các nghị quyết: Tại đây!,https://bamepharm.com.vn/2022/05/30/vv-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-cua-nguoi-so-huu-co-phieu-chi-tra-co-tuc-nam-2021/
Bổ nhiệm lại Kế toán trưởng,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,28/04/2022,Tải Nghị quyết số 07/2022/NQ-HĐQT tại đây!,https://bamepharm.com.vn/2022/04/28/bo-nhiem-lai-ke-toan-truong/
Bổ nhiệm lại Phó Tổng giám đốc phụ trách kinh doanh,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,28/04/2022,Đính kèm Nghị quyết số 06/2022/NQ-HĐQT tại đây!,https://bamepharm.com.vn/2022/04/28/bo-nhiem-lai-pho-tong-giam-doc-phu-trach-kinh-doanh/
CBTT v/v Quyết định áp dụng các biện pháp khắc phục hậu quả về thuế năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,30/03/2022,Đính kèm Quyết định tại đây!,https://bamepharm.com.vn/2022/03/30/cbtt-vv-quyet-dinh-ap-dung-cac-bien-phap-khac-phuc-hau-qua-ve-thue-nam-2021/
"Nghị quyết Bầu Chủ tịch HĐQT, Phó Chủ tịch HĐQT, Trưởng ban kiểm soát, Tổng giám đốc và các chức danh nhiệm kỳ 2022 – 2026",https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,19/03/2022,Tải Nghị quyết và Biên bản họp: Tại đây!  ,https://bamepharm.com.vn/2022/03/19/nghi-quyet-bau-chu-tich-hdqt-va-cac-chuc-danh-nam-2022/
Biên bản và Nghị quyết Đại hội cổ đông thường niên năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,19/03/2022,Biên bản và Nghị quyết Đại hội cổ đông thường niên năm 2022: Tại đây!,https://bamepharm.com.vn/2022/03/19/bien-ban-va-nghi-quyet-dai-hoi-co-dong-thuong-nien-nam-2022/
CBTT Báo cáo thường niên năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,8/3/2022,Vui lòng tải Báo cáo thường niên 2021: Tại đây!,https://bamepharm.com.vn/2022/03/08/cbtt-bao-cao-thuong-nien-nam-2021/
CBTT Báo cáo tài chính năm 2021,https://bamepharm.com.vn/wp-content/uploads/2022/02/logo.jpg,5/3/2022,Tải Báo cáo tài chính năm 2021: Tại đây!,https://bamepharm.com.vn/2022/03/05/cbtt-bao-cao-tai-chinh-nam-2021/
CBTT Tài liệu Đại hội cổ đông thường niên năm 2022,https://bamepharm.com.vn/wp-content/themes/mh-magazine-lite/images/placeholder-medium.png,26/02/2022,"I. Giấy mời, thông báo, các quy chế, mẫu biểu 1. Giấy mời họp (tải xuống: tại đây) 2. Thông báo (tải xuống: tại đây) 3. Chương […]",https://bamepharm.com.vn/2022/02/26/cbtt-tai-lieu-dai-hoi-co-dong-thuong-nien-nam-2022/
Báo cáo kết quả giao dịch cổ phiếu của người nội bô,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,24/02/2022,Báo cáo kết quả giao dịch của người nội bội: Tại đây!,https://bamepharm.com.vn/2022/02/24/bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo/
CBTT Hạn mức tín dụng năm 2022,https://bamepharm.com.vn/wp-content/uploads/2022/02/logo.jpg,17/02/2022,Đính kèm Nghị quyết HĐQT: Tại đây.,https://bamepharm.com.vn/2022/02/17/cbtt-han-muc-tin-dung-nam-2022/
Thông báo giao dịch người nội bộ,https://bamepharm.com.vn/wp-content/themes/mh-magazine-lite/images/placeholder-medium.png,16/02/2022,,https://bamepharm.com.vn/2022/02/16/thong-bao-giao-dich-nguoi-noi-bo/
CBTT về ngày đăng ký cuối cùng thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2022,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,27/01/2022,Tải Thông báo Số 01/2022/TB-CT: Tại đây.,https://bamepharm.com.vn/2022/01/27/cbtt-ve-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2022/
CBTT danh sách cổ đông lớn 06 tháng đầu năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,23/06/2021,,https://bamepharm.com.vn/2021/06/23/cbtt-danh-sach-co-dong-lon-06-thang-dau-nam-2021/
CBTT v/v Ký hợp đồng kiểm toán báo cáo tài chính năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,23/06/2021,,https://bamepharm.com.vn/2021/06/23/cbtt-vv-ky-hop-dong-kiem-toan-bao-cao-tai-chinh-nam-2021/
CBTT V/v ngày đăng ký cuối cùng để thực hiện quyền của người sở hữu cổ phiếu – Chi trả phần còn lại của cổ tức năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,14/05/2021,,https://bamepharm.com.vn/2021/05/14/cbtt-vv-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-cua-nguoi-so-huu-co-phieu-chi-tra-phan-con-lai-cua-co-tuc-nam-2020/
Biên bản và Nghị quyết Đại hội cổ đông thường niên năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,29/04/2021,Biên bản và Nghị quyết Đại hội cổ đông thường niên năm 2021. Tải xuống: tại đây  ,https://bamepharm.com.vn/2021/04/29/bien-ban-va-nghi-quyet-dai-hoi-co-dong-thuong-nien-nam-2021/
CBTT về tài liệu ĐHĐCĐ thường niên năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,7/4/2021,Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây: 1. Thông báo tham dự ĐHĐCĐ năm 2021:  Tại đây 2. Thư mời […],https://bamepharm.com.vn/2021/04/07/cbtt-ve-tai-lieu-dhdcd-thuong-nien-nam-2021/
CBTT v/v Quyết định áp dụng các biện pháp khắc phục hậu quả về thuế năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,30/03/2021,,https://bamepharm.com.vn/2021/03/30/cbtt-vv-quyet-dinh-ap-dung-cac-bien-phap-khac-phuc-hau-qua-ve-thue-nam-2020/
CBTT về ngày đăng ký cuối cùng thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,15/03/2021,,https://bamepharm.com.vn/2021/03/15/cbtt-ve-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2021/
CBTT về Báo cáo thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/3/2021,Quý cổ đông vui lòng xem chi tiết báo cáo  Tại đây ,https://bamepharm.com.vn/2021/03/05/cbtt-ve-bao-cao-thuong-nien-nam-2020/
CBTT về Báo cáo tài chính năm 2020 (sau kiểm toán),https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/3/2021,Quý cổ đông vui lòng xem chi tiết BCTC 2020  Tại đây ,https://bamepharm.com.vn/2021/03/05/cbtt-ve-bao-cao-tai-chinh-nam-2020-sau-kiem-toan/
Bổ nhiệm Phó Tổng giám đốc,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-LogoBamepharmNew-326x245.jpg,28/01/2021,,https://bamepharm.com.vn/2021/01/28/bo-nhiem-pho-tong-giam-doc/
Hạn mức tín dụng năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-LogoBamepharmNew-326x245.jpg,28/01/2021,,https://bamepharm.com.vn/2021/01/28/han-muc-tin-dung-nam-2021/
Thông qua kết quả kinh doanh năm 2020 và kế hoạch kinh doanh năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-LogoBamepharmNew-326x245.jpg,28/01/2021,,https://bamepharm.com.vn/2021/01/28/thong-qua-ket-qua-kinh-doanh-nam-2020-va-ke-hoach-kinh-doanh-nam-2021/
CBTT về chốt danh sách cổ đông chi tạm ứng cổ tức năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,17/11/2020,,https://bamepharm.com.vn/2020/11/17/cbtt-ve-chot-danh-sach-co-dong-chi-tam-ung-co-tuc-nam-2020/
CBTT về việc thay đổi nhân sự,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/09/2020, ,https://bamepharm.com.vn/2020/09/28/cbtt-ve-viec-thay-doi-nhan-su/
Thông báo chốt danh sách cổ đông để chi phần còn lại cổ tức 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,29/07/2020,,https://bamepharm.com.vn/2020/07/29/thong-bao-chot-danh-sach-co-dong-de-chi-phan-con-lai-co-tuc-2019/
CBTT danh sách cổ đông lớn 06 tháng đầu năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/07/2020,,https://bamepharm.com.vn/2020/07/28/cbtt-danh-sach-co-dong-lon-06-thang-dau-nam-2020/
CBTT về việc ký hợp đồng kiểm toán cho BCTC năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/07/2020,,https://bamepharm.com.vn/2020/07/23/cbtt-ve-viec-ky-hop-dong-kiem-toan-cho-bctc-nam-2020/
CBTT về biên bản và Nghị quyết ĐHĐCĐ 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/06/2020,Quý cổ đông vui lòng xem nội dung  Tại đây,https://bamepharm.com.vn/2020/06/27/cbtt-ve-bien-ban-va-nghi-quyet-dhdcd-2020/
CBTT về tài liệu ĐHĐCĐ thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,12/6/2020,  Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây: 1. Thư mời tham dự ĐHĐCĐ năm 2020:  Tại đây 2. Thư […],https://bamepharm.com.vn/2020/06/12/cbtt-ve-tai-lieu-dhdcd-thuong-nien-nam-2020/
CBTT về ngày đăng ký cuối cùng thực hiện quyền tham dự ĐHĐCĐ thường niên 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,19/05/2020,,https://bamepharm.com.vn/2020/05/19/cbtt-ve-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-2020/
CBTT về việc gia hạn thời gian tổ chức Đại hội đồng cổ đông thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,17/04/2020, ,https://bamepharm.com.vn/2020/04/17/cbtt-ve-viec-gia-han-thoi-gian-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2020/
CBTT về quyết định xử phạt vi phạm hành chính về thuế năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/03/2020,,https://bamepharm.com.vn/2020/03/27/cbtt-ve-quyet-dinh-xu-phat-vi-pham-hanh-chinh-ve-thue-nam-2019/
CBTT về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,12/3/2020,,https://bamepharm.com.vn/2020/03/12/cbtt-ve-ngay-dang-ky-cuoi-cung-tham-du-dhdcd-thuong-nien-nam-2020/
CBTT về Báo cáo tài chính năm 2019 (sau kiểm toán),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/3/2020,Quý cổ đông vui lòng xem chi tiết BCTC 2018  Tại đây ,https://bamepharm.com.vn/2020/03/03/cbtt-ve-bao-cao-tai-chinh-nam-2019-sau-kiem-toan/
CBTT về Báo cáo thường niên năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/3/2020,Quý cổ đông vui lòng xem chi tiết báo cáo  Tại đây ,https://bamepharm.com.vn/2020/03/03/cbtt-ve-bao-cao-thuong-nien-nam-2019/
CBTT báo cáo tình hình quản trị Công ty năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,31/01/2020,Quý cổ đông vui lòng xem nội dung chi tiết liên kết dưới đây: CBTT_Báo cáo tình hình quản trị Công ty năm 2019,https://bamepharm.com.vn/2020/01/31/cbtt-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2019/
CBTT danh sách cổ đông lớn 06 tháng cuối năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,14/01/2020,,https://bamepharm.com.vn/2020/01/14/cbtt-danh-sach-co-dong-lon-06-thang-cuoi-nam-2019/
CBTT về hạn mức tín dụng năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,24/12/2019,,https://bamepharm.com.vn/2019/12/24/cbtt-ve-han-muc-tin-dung-nam-2020/
CBTT về chốt danh sách cổ đông chi tạm ứng cổ tức năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,8/11/2019,,https://bamepharm.com.vn/2019/11/08/cbtt-ve-chot-danh-sach-co-dong-chi-tam-ung-co-tuc-nam-2019/
CBTT về quyết định của Cục thuế tỉnh Đắk Lắk,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,30/08/2019,,https://bamepharm.com.vn/2019/08/30/cbtt-ve-quyet-dinh-cua-cuc-thue-tinh-dak-lak-2/
CBTT_Danh sách cổ đông lớn thời điểm 06 tháng đầu năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,29/07/2019,,https://bamepharm.com.vn/2019/07/29/cbtt_danh-sach-co-dong-lon-thoi-diem-06-thang-dau-nam-2019/
CBTT ký hợp đồng kiểm toán năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,6/7/2019,,https://bamepharm.com.vn/2019/07/06/cbtt-ky-hop-dong-kiem-toan-nam-2019/
CBTT về ngày đăng ký cuối cùng để chi trả phần còn lại của cổ tức năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/5/2019,,https://bamepharm.com.vn/2019/05/03/cbtt-ve-ngay-dang-ky-cuoi-cung-de-chi-tra-phan-con-lai-cua-co-tuc-nam-2018/
